dataset_id,dataset_name,n_points,dbscan_seconds,ss_dbscan_seconds
letters,lettersPreProc.csv,1000,0.055356,0.038859
letters,lettersPreProc.csv,2000,0.280042,0.215297
letters,lettersPreProc.csv,4000,1.059117,0.806675
letters,lettersPreProc.csv,8000,3.685767,2.698778
iris,dataset/iris.arff,50,0.000463,0.000400
iris,dataset/iris.arff,75,0.000791,0.000661
iris,dataset/iris.arff,100,0.002118,0.001923
iris,dataset/iris.arff,150,0.003286,0.002753
synthetic,synthetic_varied_density.csv,180,0.003312,0.002072
synthetic,synthetic_varied_density.csv,300,0.005201,0.003982
synthetic,synthetic_varied_density.csv,420,0.008467,0.006299
synthetic,synthetic_varied_density.csv,540,0.013655,0.010939
